GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
usuarios,com.example.model,LoginRequest,9,17,0,0,4,8,1,5,1,5
usuarios,com.example.model,Response,12,21,0,0,6,8,3,4,3,4
usuarios,com.example.model,Usuario,4,89,0,0,2,37,1,19,1,19
usuarios,com.example,App,8,0,0,0,3,0,2,0,2,0
usuarios,com.example.controller,UsuarioController,0,92,0,0,0,19,0,7,0,7
usuarios,com.example.service,UsuarioServiceImpl,30,456,1,27,6,91,2,21,1,8
usuarios,com.example.config,CorsConfig.new WebMvcConfigurer() {...},50,0,0,0,7,0,2,0,2,0
usuarios,com.example.config,CorsConfig,8,0,0,0,2,0,2,0,2,0
usuarios,com.example.config,ValidationConfig,8,0,0,0,3,0,2,0,2,0
usuarios,com.example.config,GlobalExceptionHandler,33,0,2,0,6,0,3,0,2,0
